Unnamed: 0,Atom_Index,Charge,Info,DataMass,Source,ElementGuess,AtomicNumber,atom_type,element,chemical_environment,functional_group,hybridization,example_molecule_smiles,group_smarts,atom_specific_smarts,description,uncertainty,smarts_type,matched_mol2_indices
0,6,0.0,C  - C~   |,12.011,oplsaa.lt,C,6,6,C,generic carbon placeholder (unspecified environment),unspecified,unknown,C,[#6],[#6],Underspecified carbon; raw pattern C~ suggests a generic carbon without defined valence or bonding environment.,80,group_smarts,"[(1,), (2,), (5,), (7,), (8,), (9,), (10,), (11,), (16,), (20,), (21,), (22,), (30,), (31,), (34,), (37,)]"
4,57,-0.12,C  - CT   | CH2 all-atom C: alkanes,12.011,oplsaa.lt,C,6,57,C,methylene carbon (sp3) in alkanes; two carbon neighbors and two hydrogens,alkane (aliphatic sp3),sp3,CCC,[CH2X4]-[CX4],[CH2X4](-[CX4])[CX4],CH2 in alkanes with two sp3 carbon neighbors (internal methylene).,10,group_smarts,"[(21, 22), (30, 31), (31, 34), (34, 37)]"
16,71,0.0,C  - C2   | CH2 (SP3) ALKANES,12.011,oplsaa.lt,C,6,71,C,methylene carbon (sp3) in alkanes; two carbon neighbors and two hydrogens,alkane,sp3,CCC,[CH2X4]-[CX4],[CH2X4](-[CX4])[CX4],"CH2 (sp3) in alkanes, bonded to two sp3 carbons (internal methylene).",10,group_smarts,"[(21, 22), (30, 31), (31, 34), (34, 37)]"
12,942,0.09,C  - CT   | C in CH3NHR2+,12.011,oplsaa.lt,C,6,942,C,methyl carbon alpha to a protonated amine (CH3–NHR2+),alpha-carbon to ammonium (methyl),sp3,C[NH+](C)C,[#6X4]-[NH+;X4;H1],[CH3]-[NH+;X4;H1],"Methyl carbon directly bonded to a protonated amine nitrogen (ammonium with one N–H). Neighbor: N+(sp3,H).",20,group_smarts,"[(20, 25), (22, 25), (30, 25)]"
6,1120,-0.05,C  - CT   | C in CH3NR3+ July 2005,12.011,oplsaa.lt,C,6,1120,C,sp3 methyl carbon directly bonded to quaternary ammonium nitrogen (CH3–N+R3),quaternary ammonium alpha carbon,sp3,C[N+](C)(C)C,[#6X4]-[N+X4],[CH3]-[N+X4],"Methyl carbon alpha to a tetravalent, positively charged nitrogen (NR4+).",10,group_smarts,"[(20, 25), (22, 25), (30, 25)]"
7,1121,0.05,C  - CT   | C in RCH2NR3+ WLJ,12.011,oplsaa.lt,C,6,1121,C,sp3 methylene carbon alpha to quaternary ammonium nitrogen (R–CH2–N+R3),quaternary ammonium alpha carbon,sp3,CC[N+](C)(C)C,[#6X4]-[N+X4],[CH2]-[N+X4],Methylene carbon directly attached to a tetravalent ammonium center.,10,group_smarts,"[(20, 25), (22, 25), (30, 25)]"
8,1122,0.15,C  - CT   | C in R2CHNR3+ ammonium,12.011,oplsaa.lt,C,6,1122,C,sp3 methine carbon alpha to quaternary ammonium nitrogen (R2–CH–N+R3),quaternary ammonium alpha carbon,sp3,CC(C)[N+](C)(C)C,[#6X4]-[N+X4],[CH]-[N+X4],Tertiary carbon (one H) directly attached to a quaternary ammonium nitrogen.,12,group_smarts,"[(20, 25), (22, 25), (30, 25)]"
9,1123,0.25,C  - CT   | C in R3CNR3+,12.011,oplsaa.lt,C,6,1123,C,sp3 quaternary carbon alpha to quaternary ammonium nitrogen (R3–C–N+R3),quaternary ammonium alpha carbon,sp3,C(C)(C)(C)[N+](C)(C)C,[#6X4]-[N+X4],[C;H0]-[N+X4],Fully substituted (no H) carbon directly attached to a tetravalent ammonium nitrogen.,15,group_smarts,"[(20, 25), (22, 25), (30, 25)]"
12,773,0.15,"""Ammonium RCH2-NHR2+""",12.011,oplsaa2008.lt,C,6,773,C,Methylene carbon directly bonded to a protonated ammonium nitrogen (–CH2–N+Hn–),alpha carbon to ammonium (methylene),sp3,CC[NH3+],[CH2]-[N+;X4],[CH2]-[N+;X4],"Methylene carbon alpha to a positively charged ammonium nitrogen [N+;X4] (e.g., ethylammonium CH2).",15,group_smarts,"[(20, 25), (22, 25), (30, 25)]"
17,889,0.05,"""Ammonium RCH2-NR3+""",12.011,oplsaa2008.lt,C,6,889,C,primary methylene carbon alpha to a quaternary ammonium nitrogen,quaternary ammonium alpha-carbon (RCH2–NR3+),sp3,CC[N+](C)(C)C,[CH2]-[N+X4],[CH2:1]-[N+X4](-[#6])(-[#6])-[#6],A primary aliphatic CH2 directly bonded to an NR4+ center.,low,group_smarts,"[(20, 25), (22, 25), (30, 25)]"
