Unnamed: 0,Atom_Index,Charge,Info,DataMass,Source,ElementGuess,AtomicNumber,atom_type,element,chemical_environment,functional_group,hybridization,example_molecule_smiles,group_smarts,atom_specific_smarts,description,uncertainty,smarts_type,matched_mol2_indices
0,6,0.0,C  - C~   |,12.011,oplsaa.lt,C,6,6,C,generic carbon placeholder (unspecified environment),unspecified,unknown,C,[#6],[#6],Underspecified carbon; raw pattern C~ suggests a generic carbon without defined valence or bonding environment.,80,group_smarts,"[(1,), (2,), (5,), (7,), (8,), (9,), (10,), (11,), (16,), (20,), (21,), (22,), (30,), (31,), (34,), (37,)]"
4,57,-0.12,C  - CT   | CH2 all-atom C: alkanes,12.011,oplsaa.lt,C,6,57,C,methylene carbon (sp3) in alkanes; two carbon neighbors and two hydrogens,alkane (aliphatic sp3),sp3,CCC,[CH2X4]-[CX4],[CH2X4](-[CX4])[CX4],CH2 in alkanes with two sp3 carbon neighbors (internal methylene).,10,group_smarts,"[(21, 22), (30, 31), (31, 34), (34, 37)]"
16,71,0.0,C  - C2   | CH2 (SP3) ALKANES,12.011,oplsaa.lt,C,6,71,C,methylene carbon (sp3) in alkanes; two carbon neighbors and two hydrogens,alkane,sp3,CCC,[CH2X4]-[CX4],[CH2X4](-[CX4])[CX4],"CH2 (sp3) in alkanes, bonded to two sp3 carbons (internal methylene).",10,group_smarts,"[(21, 22), (30, 31), (31, 34), (34, 37)]"
9,908,0.09,"C  - CT   | CH2(N) tertiary aliphatic amines, H(C) type 911",12.011,oplsaa.lt,C,6,908,C,Methylene carbon directly attached to a tertiary aliphatic amine nitrogen (no N–H),alpha-carbon to tertiary amine (methylene),sp3,CCN(CC)CC,[CH2]-[NX3;H0;!a],[CH2]-[NX3H0;!a],"The CH2 carbon alpha to a tertiary aliphatic amine (e.g., triethylamine).",5,group_smarts,"[(16, 17), (20, 17), (21, 17)]"
1,989,0.145,C  - CT   | C in CH2NR2 - benzyl amines; C(CH2NH2) is,12.011,oplsaa.lt,C,6,989,C,Benzylic methylene attached to an amine nitrogen (benzyl amines: Ar-CH2-NR2).,benzyl amine benzylic carbon,sp3 (tetrahedral),c1ccccc1CN(C)C,[CH2]-[N;X3]-[!#1],[CH2:1](-[N;X3])-[c;r6],The CH2 between an aromatic ring and an amine N (primary/secondary/tertiary amines). Nearest neighbors: aromatic sp2 C and amine N(sp3).,25,group_smarts,"[(16, 17, 21), (16, 17, 20), (20, 17, 21)]"
6,735,0.03,"""Amine CH3-NR2""",12.011,oplsaa2008.lt,C,6,735,C,"Methyl carbon attached to a tertiary aliphatic amine nitrogen (NR2, no N–H)",aliphatic tertiary amine (alpha-carbon),sp3,CN(C)C,[CX4]-[N;X3;H0;!$(N-C(=O))],[CH3;X4]-[N;X3;H0;!$(N-C(=O))],Methyl alpha-carbon of a tertiary amine (non-amide),10,group_smarts,"[(16, 17), (20, 17), (21, 17)]"
9,738,0.09,"""Amine RCH2-NR2""",12.011,oplsaa2008.lt,C,6,738,C,"Methylene carbon attached to a tertiary aliphatic amine nitrogen (NR2, no N–H)",aliphatic tertiary amine (alpha-carbon),sp3,CCN(C)C,[CH2;X4]-[N;X3;H0;!$(N-C(=O))],[CH2;X4]-[N;X3;H0;!$(N-C(=O))],CH2 alpha-carbon next to a tertiary amine (non-amide),10,group_smarts,"[(16, 17), (20, 17), (21, 17)]"
3,857,-0.04,"""B3-Peptide CA Main/N-Ter""",12.011,oplsaa2008.lt,C,6,857,C,peptide backbone alpha carbon at the N-terminus,peptide backbone CA (N-terminus),sp3,NCC(=O)N,"[C;X4;$([C]-[N;X3;!$([N]-[#6](=O))]),$([C]-[C](=O)-[NX3])]","[C:1;X4;$([C]-[N;X3;!$([N]-[#6](=O))]),$([C]-[C](=O)-[NX3])]",Alpha carbon of the N-terminal residue: attached to a terminal amine/amonium N (not acylated) and to a carbonyl carbon connected to an amide N toward the C-terminus.,medium,group_smarts,"[(16,), (20,), (21,)]"
9,863,0.11,"""B3-Peptide CB GLY N-Ter""",12.011,oplsaa2008.lt,C,6,863,C,glycine alpha carbon at the N-terminus (OPLS label CB for Gly),"peptide backbone CA (glycine, N-terminus)",sp3,NCC(=O)N,"[CH2;X4;$([CH2]-[N;X3;!$([N]-[#6](=O))]),$([CH2]-[C](=O)-[NX3])]","[CH2:1;X4;$([CH2]-[N;X3;!$([N]-[#6](=O))]),$([CH2]-[C](=O)-[NX3])]",Glycine’s methylene alpha carbon at an N-terminus; OPLS uses a CB label for Gly although it has no true side chain.,high,group_smarts,"[(16,), (20,), (21,)]"
10,6,0.0,C  - C~   |,12.011,oplsaa2024.lt,C,6,6,C,Generic carbon placeholder (unspecified bonding in source entry),unspecified,unspecified,C,[#6],[#6:1],Ambiguous generic carbon type from source; no clear local environment provided.,80,group_smarts,"[(1,), (2,), (5,), (7,), (8,), (9,), (10,), (11,), (16,), (20,), (21,), (22,), (30,), (31,), (34,), (37,)]"
