Unnamed: 0,Atom_Index,Charge,Info,DataMass,Source,ElementGuess,AtomicNumber,atom_type,element,chemical_environment,functional_group,hybridization,example_molecule_smiles,group_smarts,atom_specific_smarts,description,uncertainty,smarts_type,matched_mol2_indices
0,6,0.0,C  - C~   |,12.011,oplsaa.lt,C,6,6,C,generic carbon placeholder (unspecified environment),unspecified,unknown,C,[#6],[#6],Underspecified carbon; raw pattern C~ suggests a generic carbon without defined valence or bonding environment.,80,group_smarts,"[(1,), (2,), (5,), (7,), (8,), (9,), (10,), (11,), (16,), (20,), (21,), (22,), (30,), (31,), (34,), (37,)]"
9,908,0.09,"C  - CT   | CH2(N) tertiary aliphatic amines, H(C) type 911",12.011,oplsaa.lt,C,6,908,C,Methylene carbon directly attached to a tertiary aliphatic amine nitrogen (no N–H),alpha-carbon to tertiary amine (methylene),sp3,CCN(CC)CC,[CH2]-[NX3;H0;!a],[CH2]-[NX3H0;!a],"The CH2 carbon alpha to a tertiary aliphatic amine (e.g., triethylamine).",5,group_smarts,"[(16, 17), (20, 17), (21, 17)]"
12,942,0.09,C  - CT   | C in CH3NHR2+,12.011,oplsaa.lt,C,6,942,C,methyl carbon alpha to a protonated amine (CH3–NHR2+),alpha-carbon to ammonium (methyl),sp3,C[NH+](C)C,[#6X4]-[NH+;X4;H1],[CH3]-[NH+;X4;H1],"Methyl carbon directly bonded to a protonated amine nitrogen (ammonium with one N–H). Neighbor: N+(sp3,H).",20,group_smarts,"[(20, 25), (22, 25), (30, 25)]"
1,989,0.145,C  - CT   | C in CH2NR2 - benzyl amines; C(CH2NH2) is,12.011,oplsaa.lt,C,6,989,C,Benzylic methylene attached to an amine nitrogen (benzyl amines: Ar-CH2-NR2).,benzyl amine benzylic carbon,sp3 (tetrahedral),c1ccccc1CN(C)C,[CH2]-[N;X3]-[!#1],[CH2:1](-[N;X3])-[c;r6],The CH2 between an aromatic ring and an amine N (primary/secondary/tertiary amines). Nearest neighbors: aromatic sp2 C and amine N(sp3).,25,group_smarts,"[(16, 17, 21), (16, 17, 20), (20, 17, 21)]"
6,1120,-0.05,C  - CT   | C in CH3NR3+ July 2005,12.011,oplsaa.lt,C,6,1120,C,sp3 methyl carbon directly bonded to quaternary ammonium nitrogen (CH3–N+R3),quaternary ammonium alpha carbon,sp3,C[N+](C)(C)C,[#6X4]-[N+X4],[CH3]-[N+X4],"Methyl carbon alpha to a tetravalent, positively charged nitrogen (NR4+).",10,group_smarts,"[(20, 25), (22, 25), (30, 25)]"
7,1121,0.05,C  - CT   | C in RCH2NR3+ WLJ,12.011,oplsaa.lt,C,6,1121,C,sp3 methylene carbon alpha to quaternary ammonium nitrogen (R–CH2–N+R3),quaternary ammonium alpha carbon,sp3,CC[N+](C)(C)C,[#6X4]-[N+X4],[CH2]-[N+X4],Methylene carbon directly attached to a tetravalent ammonium center.,10,group_smarts,"[(20, 25), (22, 25), (30, 25)]"
8,1122,0.15,C  - CT   | C in R2CHNR3+ ammonium,12.011,oplsaa.lt,C,6,1122,C,sp3 methine carbon alpha to quaternary ammonium nitrogen (R2–CH–N+R3),quaternary ammonium alpha carbon,sp3,CC(C)[N+](C)(C)C,[#6X4]-[N+X4],[CH]-[N+X4],Tertiary carbon (one H) directly attached to a quaternary ammonium nitrogen.,12,group_smarts,"[(20, 25), (22, 25), (30, 25)]"
9,1123,0.25,C  - CT   | C in R3CNR3+,12.011,oplsaa.lt,C,6,1123,C,sp3 quaternary carbon alpha to quaternary ammonium nitrogen (R3–C–N+R3),quaternary ammonium alpha carbon,sp3,C(C)(C)(C)[N+](C)(C)C,[#6X4]-[N+X4],[C;H0]-[N+X4],Fully substituted (no H) carbon directly attached to a tetravalent ammonium nitrogen.,15,group_smarts,"[(20, 25), (22, 25), (30, 25)]"
6,735,0.03,"""Amine CH3-NR2""",12.011,oplsaa2008.lt,C,6,735,C,"Methyl carbon attached to a tertiary aliphatic amine nitrogen (NR2, no N–H)",aliphatic tertiary amine (alpha-carbon),sp3,CN(C)C,[CX4]-[N;X3;H0;!$(N-C(=O))],[CH3;X4]-[N;X3;H0;!$(N-C(=O))],Methyl alpha-carbon of a tertiary amine (non-amide),10,group_smarts,"[(16, 17), (20, 17), (21, 17)]"
9,738,0.09,"""Amine RCH2-NR2""",12.011,oplsaa2008.lt,C,6,738,C,"Methylene carbon attached to a tertiary aliphatic amine nitrogen (NR2, no N–H)",aliphatic tertiary amine (alpha-carbon),sp3,CCN(C)C,[CH2;X4]-[N;X3;H0;!$(N-C(=O))],[CH2;X4]-[N;X3;H0;!$(N-C(=O))],CH2 alpha-carbon next to a tertiary amine (non-amide),10,group_smarts,"[(16, 17), (20, 17), (21, 17)]"
