Unnamed: 0,Atom_Index,Charge,Info,DataMass,Source,ElementGuess,AtomicNumber,atom_type,element,chemical_environment,functional_group,hybridization,example_molecule_smiles,group_smarts,atom_specific_smarts,description,uncertainty,smarts_type,matched_mol2_indices
0,6,0.0,C  - C~   |,12.011,oplsaa.lt,C,6,6,C,generic carbon placeholder (unspecified environment),unspecified,unknown,C,[#6],[#6],Underspecified carbon; raw pattern C~ suggests a generic carbon without defined valence or bonding environment.,80,group_smarts,"[(1,), (2,), (5,), (7,), (8,), (9,), (10,), (11,), (16,), (20,), (21,), (22,), (30,), (31,), (34,), (37,)]"
7,61,-0.065,"C  - CT   | all-atom C: CH3, toluene",12.011,oplsaa.lt,C,6,61,C,benzylic methyl carbon (sp3) attached directly to an aromatic ring (toluene-type),benzylic alkyl,sp3,c1ccccc1C,[CX4]-[cX3],[CH3X4]-[cX3],CH3 bonded directly to an aromatic sp2 carbon (toluene methyl).,15,group_smarts,"[(16, 9)]"
8,62,-0.005,"C  - CT   | all-atom C: CH2, ethyl benzene",12.011,oplsaa.lt,C,6,62,C,benzylic methylene carbon (sp3) alpha to an aromatic ring (ethylbenzene-type),benzylic alkyl,sp3,c1ccccc1CC,[CX4]-[cX3],[CH2X4](-[cX3])[CX4],CH2 directly attached to an aromatic sp2 carbon and to one sp3 carbon (benzylic CH2 of ethylbenzene).,15,group_smarts,"[(16, 9)]"
9,63,0.055,"C  - CT   | all-atom C: CH, i-propyl benzene",12.011,oplsaa.lt,C,6,63,C,benzylic tertiary methine carbon (sp3) attached to an aromatic ring and two alkyl groups (cumyl-type),benzylic alkyl,sp3,c1ccccc1C(C)C,[CX4]-[cX3],[CHX4](-[cX3])(-[CX4])[CX4],CH (sp3) directly bonded to an aromatic carbon and two additional sp3 carbons (i-propyl benzene benzylic center).,15,group_smarts,"[(16, 9)]"
10,64,0.115,"C  - CT   | all-atom C: C, t-butyl benzene",12.011,oplsaa.lt,C,6,64,C,benzylic quaternary carbon (sp3) attached to an aromatic ring and three alkyl groups (tert-butyl benzene-type),benzylic alkyl,sp3,c1ccccc1C(C)(C)C,[CX4]-[cX3],[CX4H0](-[cX3])(-[CX4])(-[CX4])[CX4],"C (sp3, no hydrogens) bonded directly to an aromatic carbon and to three sp3 carbons (t-butyl benzene benzylic center).",15,group_smarts,"[(16, 9)]"
9,908,0.09,"C  - CT   | CH2(N) tertiary aliphatic amines, H(C) type 911",12.011,oplsaa.lt,C,6,908,C,Methylene carbon directly attached to a tertiary aliphatic amine nitrogen (no N–H),alpha-carbon to tertiary amine (methylene),sp3,CCN(CC)CC,[CH2]-[NX3;H0;!a],[CH2]-[NX3H0;!a],"The CH2 carbon alpha to a tertiary aliphatic amine (e.g., triethylamine).",5,group_smarts,"[(16, 17), (20, 17), (21, 17)]"
1,989,0.145,C  - CT   | C in CH2NR2 - benzyl amines; C(CH2NH2) is,12.011,oplsaa.lt,C,6,989,C,Benzylic methylene attached to an amine nitrogen (benzyl amines: Ar-CH2-NR2).,benzyl amine benzylic carbon,sp3 (tetrahedral),c1ccccc1CN(C)C,[CH2]-[N;X3]-[!#1],[CH2:1](-[N;X3])-[c;r6],The CH2 between an aromatic ring and an amine N (primary/secondary/tertiary amines). Nearest neighbors: aromatic sp2 C and amine N(sp3).,25,group_smarts,"[(16, 17, 21), (16, 17, 20), (20, 17, 21)]"
2,94,-0.005,"""Ethyl Benzene -CH2-""",12.011,oplsaa2008.lt,C,6,94,C,Benzylic methylene carbon in ethylbenzene (-CH2-Ph),benzylic (aryl-alkyl),sp3,CCc1ccccc1,[CH2]-[c],[CH2](-[C;X4])-[c],The methylene carbon directly bonded to an aromatic ring and to one additional carbon (primary benzylic CH2).,10,group_smarts,"[(16, 9)]"
6,735,0.03,"""Amine CH3-NR2""",12.011,oplsaa2008.lt,C,6,735,C,"Methyl carbon attached to a tertiary aliphatic amine nitrogen (NR2, no N–H)",aliphatic tertiary amine (alpha-carbon),sp3,CN(C)C,[CX4]-[N;X3;H0;!$(N-C(=O))],[CH3;X4]-[N;X3;H0;!$(N-C(=O))],Methyl alpha-carbon of a tertiary amine (non-amide),10,group_smarts,"[(16, 17), (20, 17), (21, 17)]"
9,738,0.09,"""Amine RCH2-NR2""",12.011,oplsaa2008.lt,C,6,738,C,"Methylene carbon attached to a tertiary aliphatic amine nitrogen (NR2, no N–H)",aliphatic tertiary amine (alpha-carbon),sp3,CCN(C)C,[CH2;X4]-[N;X3;H0;!$(N-C(=O))],[CH2;X4]-[N;X3;H0;!$(N-C(=O))],CH2 alpha-carbon next to a tertiary amine (non-amide),10,group_smarts,"[(16, 17), (20, 17), (21, 17)]"
