Unnamed: 0,Atom_Index,Charge,Info,DataMass,Source,ElementGuess,AtomicNumber,atom_type,element,chemical_environment,functional_group,hybridization,example_molecule_smiles,group_smarts,atom_specific_smarts,description,uncertainty,smarts_type,matched_mol2_indices
0,6,0.0,C  - C~   |,12.011,oplsaa.lt,C,6,6,C,generic carbon placeholder (unspecified environment),unspecified,unknown,C,[#6],[#6],Underspecified carbon; raw pattern C~ suggests a generic carbon without defined valence or bonding environment.,80,group_smarts,"[(1,), (2,), (5,), (7,), (8,), (9,), (10,), (11,), (16,), (20,), (21,), (22,), (30,), (31,), (34,), (37,)]"
9,142,-0.115,C  - CM   | alkene C (RH-C=) all atom,12.011,oplsaa.lt,C,6,142,C,"Monosubstituted alkene carbon (RH–C=), vinylic CH",alkene,sp2,C=CC,[CHX3]([#6])=[#6X3],[CHX3]([#6])=[C;X3],"Vinylic sp2 carbon in an alkene with one hydrogen and one carbon substituent. Nearest neighbors: one H, one C (single-bond), one vinylic C (double-bond).",10,group_smarts,"[(2, 5, 1)]"
11,145,-0.115,C  - CA   | Benzene C - 12 site OPLS/2020,12.011,oplsaa.lt,C,6,145,C,Aromatic carbon in benzene ring,benzene (aromatic),aromatic sp2,c1ccccc1,c1ccccc1,[c;r6],An sp2 aromatic carbon belonging to a six-membered benzene ring. Nearest neighbors: two aromatic carbons.,10,group_smarts,"[(5, 7, 8, 9, 11, 10)]"
17,87,-0.115,"""Alkene RH-C=""",12.011,oplsaa2008.lt,C,6,87,C,Alkene sp2 carbon (RH–C=) with one vinylic hydrogen and one carbon substituent.,alkene (monosubstituted vinylic CH),sp2,CC=CH2,[CHX3](-[#6])=[#6X3],[CHX3](-[#6])=[#6X3],"Vinylic CH in a C=C bond with one carbon substituent. Nearest neighbors: one sp2 carbon (alkene partner), one carbon substituent, and one hydrogen.",8,group_smarts,"[(2, 5, 1)]"
19,90,-0.115,"""Aromatic C""",12.011,oplsaa2008.lt,C,6,90,C,"Aromatic carbon in a six-membered ring (e.g., benzene-like).",aromatic ring carbon,sp2,c1ccccc1,[cX3;r6],[cX3;r6],Planar sp2 carbon as part of a six-membered aromatic ring system. Nearest neighbors: two aromatic atoms (typically carbons).,10,group_smarts,"[(5,), (7,), (8,), (9,), (10,), (11,)]"
0,165,0.0,C  - CA   | Cipso in styrene,12.011,oplsaa.lt,C,6,165,C,Aromatic ipso carbon of styrene (phenyl carbon bonded to the vinyl substituent),styrene (aryl–vinyl),sp2 (aromatic),c1ccccc1C=C,[c;r6]-[C;X3]=[C;X3],[cH0:1;r6](-[C;X3]=[C;X3]),Ring carbon directly bonded to a vinylic sp2 carbon (CH=CH2) and two adjacent aromatic carbons; no attached hydrogen.,10,group_smarts,"[(5, 2, 1)]"
0,635,0.342,"""2-Phenyl Pyridine C4""",12.011,oplsaa2008.lt,C,6,635,C,"Aromatic carbon in the pyridine ring of 2-phenylpyridine at the C4 position (para to the ring N), not bearing a substituent",heteroaromatic (pyridine) within a biaryl (2-phenylpyridine),sp2 (aromatic),n1c(cccc1)c2ccccc2,"[$([c;r6]1ccc[cH]c1),$([c;r6]1ccncc1)]",n1ccc[cH:1]c1,C4 in 2-phenylpyridine: the pyridine-ring carbon para to the ring nitrogen; bonded to two aromatic carbons within the same pyridine ring.,55,group_smarts,"[(5,), (7,), (8,), (9,), (10,), (11,)]"
10,6,0.0,C  - C~   |,12.011,oplsaa2024.lt,C,6,6,C,Generic carbon placeholder (unspecified bonding in source entry),unspecified,unspecified,C,[#6],[#6:1],Ambiguous generic carbon type from source; no clear local environment provided.,80,group_smarts,"[(1,), (2,), (5,), (7,), (8,), (9,), (10,), (11,), (16,), (20,), (21,), (22,), (30,), (31,), (34,), (37,)]"
19,63,0.055,"C  - CT   | all-atom C: CH, i-propyl benzene",12.011,oplsaa2024.lt,C,6,63,C,Benzylic methine in isopropyl benzene (cumene) attached to two alkyl groups and an aromatic ring,alkyl-aryl (benzylic CH),sp3,CC(C)c1ccccc1,[CH]-c,[CH:1](-[cX3])(-[#6X4])-[#6X4],Benzylic CH attached directly to an aromatic carbon and to two sp3 carbon substituents (isopropyl benzene).,15,group_smarts,"[(2, 5)]"
1,145,-0.115,C  - CA   | Benzene C - 12 site OPLS/2020,12.011,oplsaa2024.lt,C,6,145,C,"benzene ring carbon (non-fusion, non-ipso special cases)",aromatic (benzene),sp2,c1ccccc1,[c;r6],"[$([cH](:a):a),$([c;H0](:a)(:a)[!a])]",A benzene ring carbon with exactly two aromatic neighbors; can be protonated (cH) or substituted by a non-aromatic atom/group; excludes fusion junction carbons with three aromatic neighbors.,15,group_smarts,"[(5,), (7,), (8,), (9,), (10,), (11,)]"
10,165,0.0,C  - CA   | Cipso in styrene,12.011,oplsaa2024.lt,C,6,165,C,ipso aromatic carbon in styrene (ring carbon bonded to vinyl group),aromatic (styrenyl ipso),sp2,c1ccccc1C=C,[c;H0](-C=C),[c;r6;H0](-C=C)(:a):a,The benzene ring carbon bonded to an alkenyl (vinyl) substituent as in styrene; has two aromatic neighbors and one alkenyl substituent.,20,group_smarts,"[(5, 2, 1)]"
