Unnamed: 0,Atom_Index,Charge,Info,DataMass,Source,ElementGuess,AtomicNumber,atom_type,element,chemical_environment,functional_group,hybridization,example_molecule_smiles,group_smarts,atom_specific_smarts,description,uncertainty,smarts_type,matched_mol2_indices
0,6,0.0,C  - C~   |,12.011,oplsaa.lt,C,6,6,C,generic carbon placeholder (unspecified environment),unspecified,unknown,C,[#6],[#6],Underspecified carbon; raw pattern C~ suggests a generic carbon without defined valence or bonding environment.,80,group_smarts,"[(1,), (2,), (5,), (7,), (8,), (9,), (10,), (11,), (16,), (20,), (21,), (22,), (30,), (31,), (34,), (37,)]"
7,61,-0.065,"C  - CT   | all-atom C: CH3, toluene",12.011,oplsaa.lt,C,6,61,C,benzylic methyl carbon (sp3) attached directly to an aromatic ring (toluene-type),benzylic alkyl,sp3,c1ccccc1C,[CX4]-[cX3],[CH3X4]-[cX3],CH3 bonded directly to an aromatic sp2 carbon (toluene methyl).,15,group_smarts,"[(16, 9)]"
8,62,-0.005,"C  - CT   | all-atom C: CH2, ethyl benzene",12.011,oplsaa.lt,C,6,62,C,benzylic methylene carbon (sp3) alpha to an aromatic ring (ethylbenzene-type),benzylic alkyl,sp3,c1ccccc1CC,[CX4]-[cX3],[CH2X4](-[cX3])[CX4],CH2 directly attached to an aromatic sp2 carbon and to one sp3 carbon (benzylic CH2 of ethylbenzene).,15,group_smarts,"[(16, 9)]"
9,63,0.055,"C  - CT   | all-atom C: CH, i-propyl benzene",12.011,oplsaa.lt,C,6,63,C,benzylic tertiary methine carbon (sp3) attached to an aromatic ring and two alkyl groups (cumyl-type),benzylic alkyl,sp3,c1ccccc1C(C)C,[CX4]-[cX3],[CHX4](-[cX3])(-[CX4])[CX4],CH (sp3) directly bonded to an aromatic carbon and two additional sp3 carbons (i-propyl benzene benzylic center).,15,group_smarts,"[(16, 9)]"
10,64,0.115,"C  - CT   | all-atom C: C, t-butyl benzene",12.011,oplsaa.lt,C,6,64,C,benzylic quaternary carbon (sp3) attached to an aromatic ring and three alkyl groups (tert-butyl benzene-type),benzylic alkyl,sp3,c1ccccc1C(C)(C)C,[CX4]-[cX3],[CX4H0](-[cX3])(-[CX4])(-[CX4])[CX4],"C (sp3, no hydrogens) bonded directly to an aromatic carbon and to three sp3 carbons (t-butyl benzene benzylic center).",15,group_smarts,"[(16, 9)]"
11,145,-0.115,C  - CA   | Benzene C - 12 site OPLS/2020,12.011,oplsaa.lt,C,6,145,C,Aromatic carbon in benzene ring,benzene (aromatic),aromatic sp2,c1ccccc1,c1ccccc1,[c;r6],An sp2 aromatic carbon belonging to a six-membered benzene ring. Nearest neighbors: two aromatic carbons.,10,group_smarts,"[(5, 7, 8, 9, 11, 10)]"
19,90,-0.115,"""Aromatic C""",12.011,oplsaa2008.lt,C,6,90,C,"Aromatic carbon in a six-membered ring (e.g., benzene-like).",aromatic ring carbon,sp2,c1ccccc1,[cX3;r6],[cX3;r6],Planar sp2 carbon as part of a six-membered aromatic ring system. Nearest neighbors: two aromatic atoms (typically carbons).,10,group_smarts,"[(5,), (7,), (8,), (9,), (10,), (11,)]"
2,94,-0.005,"""Ethyl Benzene -CH2-""",12.011,oplsaa2008.lt,C,6,94,C,Benzylic methylene carbon in ethylbenzene (-CH2-Ph),benzylic (aryl-alkyl),sp3,CCc1ccccc1,[CH2]-[c],[CH2](-[C;X4])-[c],The methylene carbon directly bonded to an aromatic ring and to one additional carbon (primary benzylic CH2).,10,group_smarts,"[(16, 9)]"
0,635,0.342,"""2-Phenyl Pyridine C4""",12.011,oplsaa2008.lt,C,6,635,C,"Aromatic carbon in the pyridine ring of 2-phenylpyridine at the C4 position (para to the ring N), not bearing a substituent",heteroaromatic (pyridine) within a biaryl (2-phenylpyridine),sp2 (aromatic),n1c(cccc1)c2ccccc2,"[$([c;r6]1ccc[cH]c1),$([c;r6]1ccncc1)]",n1ccc[cH:1]c1,C4 in 2-phenylpyridine: the pyridine-ring carbon para to the ring nitrogen; bonded to two aromatic carbons within the same pyridine ring.,55,group_smarts,"[(5,), (7,), (8,), (9,), (10,), (11,)]"
0,819,0.145,"""Benzyl Amine -CH2NR2""",12.011,oplsaa2008.lt,C,6,819,C,benzylic CH2 attached to a tertiary amine nitrogen (Ph-CH2-NR2),benzyl amine alpha carbon,sp3,CN(C)Cc1ccccc1,[cX3]-[CH2]-[N;X3;!$([NX3](=O))],[C:1;H2;X4](-[N;X3;!$([NX3](=O))])-[cX3],The benzylic methylene carbon directly bonded to an amine N and an aromatic carbon.,20,group_smarts,"[(9, 16, 17)]"
